38.9879 -7.71976 | -0.117498 0.722413 | 193.372 -129.159
-10.8701 -12.4094 | 0.338382 -0.122035 | 6.82121e-13 5.68434e-14
42.009 -18.6028 | 1.09457 0.12712 | -250.372 -1683.54
-16.566 -18.9501 | -0.385713 0.501138 | -7.27596e-12 -5.45697e-12
-57.4875 32.7611 | -0.683642 0.399348 | -603.299 430.46
33.7279 68.5343 | 1.24116 1.05243 | -7.95808e-13 -9.09495e-13
-28.8753 -4.28286 | -0.429829 -0.756931 | 48.8567 -916.841
40.9611 -86.0936 | -0.129464 0.736619 | 5.68434e-12 -1.22782e-11
56.6912 -71.1674 | -0.213364 0.324942 | -7.61702e-12 9.09495e-12
-28.8994 -25.7062 | 0.893362 -0.130898 | -951.905 957.596
-54.7186 19.8644 | -1.2694 0.818325 | 585.175 -950.969
-62.8999 73.0359 | -0.231893 -1.09914 | 161.627 -862.251
-51.2745 53.6858 | -0.34265 1.49414 | 2.95586e-12 -2.72848e-12
-69.7392 -22.8059 | -0.0031134 0.280847 | 2.50111e-12 6.96332e-12
39.1503 -58.9374 | -0.15658 -1.46588 | -3.0127e-12 -4.49063e-12
70.6658 -59.6898 | 0.809514 0.142818 | 3.63798e-12 7.07701e-12
-21.3296 5.34208 | -1.09625 -0.126165 | -53.7812 935.732
-66.7594 -36.8844 | 0.436171 -0.666251 | -33.6395 144.462
