-10.4746 -11.1187 | 0.504303 0.253707 | 5.45697e-12 -2.50111e-12
54.2747 -24.2098 | 0.284795 0.0457445 | -120.977 664.893
-12.375 -23.8017 | 0.146662 -0.780248 | 3.18323e-12 -8.18545e-12
-61.5776 39.2631 | -0.147655 -0.457809 | 31.9404 -73.7703
54.6495 72.5623 | 1.41228 0.145324 | 13.8565 167.594
-41.4478 -9.45996 | -0.465203 0.0868493 | 377.757 351.929
35.1051 -87.1284 | -0.194504 -0.199099 | -9.09495e-12 -3.37508e-12
62.417 -66.1493 | 0.535503 0.31238 | -7.27596e-12 -1.54614e-11
-27.3048 -33.0553 | -0.413949 -0.491686 | -5.00222e-12 3.86535e-12
-66.1049 22.8426 | 0.208395 -0.0603765 | 6.59384e-12 -5.22959e-12
-66.613 60.6882 | -0.858316 -0.289378 | 1.31877e-11 0
-40.0766 58.9008 | 0.562343 0.625979 | -14.3248 15.1048
-71.88 -19.5622 | -0.459496 -0.362193 | -67.9161 -339.71
34.663 -64.5742 | 0.359144 -0.287638 | -1.81899e-12 2.72848e-12
83.3772 -38.3743 | 0.104594 0.698463 | 6.36646e-12 1.13687e-11
-38.8605 5.30747 | 0.146382 -0.428229 | -1.36424e-12 -6.36646e-12
-69.8589 -39.4798 | 0.447698 0.359143 | 9.54969e-12 2.27374e-12
