45.7401 -7.98028 | 0.799584 -0.0115622 | 2.27374e-13 9.09495e-13
-9.28537 -10.9269 | 0.637103 0.0225677 | 0 0
54.9175 -24.0131 | 0.370473 0.0623491 | -9.09495e-13 8.86757e-12
-11.9982 -25.1901 | 0.202795 -0.664339 | 5.22959e-12 -4.54747e-12
-60.9966 37.8141 | 0.402393 -0.725849 | -1.36424e-12 9.09495e-13
56.4581 72.814 | 0.540018 0.518134 | -641.809 836.378
-42.3206 -8.75079 | -0.466151 0.439224 | 5.91172e-12 1.59162e-12
35.556 -87.953 | 0.652282 -0.642339 | 279.542 -227.537
63.7925 -65.984 | 0.763424 0.0229204 | -2.72848e-11 -9.54969e-12
-28.2162 -34.2108 | -0.470082 -0.607594 | 9.09495e-13 6.36646e-12
-65.5944 22.8253 | 0.331062 0.0735947 | 2.65831 2.08392
-68.1476 60.4188 | -0.680699 0.0407269 | -360.032 386.428
-38.4949 59.5226 | 0.888241 0.1821 | 96.9812 -236.097
-72.7418 -20.2454 | -0.256089 -0.167196 | -1.36424e-12 5.45697e-12
35.3591 -64.9942 | 0.533016 -0.0814428 | 9.09495e-13 2.38742e-12
83.6585 -37.7636 | 0.144703 -0.0841695 | 2.27374e-12 1.09139e-11
-38.5661 4.44805 | 0.148008 -0.431346 | -7.7307e-12 2.72848e-12
-69.5663 -39.4533 | 0.15545 0.240989 | 124.22 469.965
