-75.9447 -28.3954 | 0.806454 0.0323318 | -4.2375 10.0797
59.6662 22.3804 | -0.171677 -0.477368 | -2763.69 2325.5
20.0279 38.5881 | -0.196117 0.245522 | -294.903 335.293
-9.214 83.8869 | -0.781714 0.193404 | -350.016 -692.962
77.3933 -36.9345 | -0.437357 -0.02657 | -4.54747e-12 9.09495e-13
57.8237 -1.18472 | 1.06303 -0.361028 | 0 -9.09495e-13
-37.2208 35.2548 | -0.344425 0.829472 | -355.437 574.8
4.8007 -44.6599 | 0.0969285 -1.02033 | 4.54747e-13 -1.87583e-12
26.548 73.8771 | 0.414684 -0.21359 | -116.895 170.908
-56.3053 16.6395 | -1.08376 0.970881 | -3.06954e-12 5.91172e-12
-34.1028 74.9556 | 0.752936 0.536733 | -3669.46 -494.757
39.9445 -8.34494 | 0.0178789 -0.0418328 | -11.6646 -1987.9
-55.5956 -13.9899 | 0.261806 -0.0677599 | -1280.15 -2002.99
-69.8909 2.93908 | -1.08481 0.266392 | 42.9869 -146.763
-11.1856 34.2968 | -0.453215 0.360023 | -1347.28 -2623.82
14.5025 13.2589 | -0.395494 0.0190201 | 649.752 -1399.95
-32.363 9.06837 | -0.20755 0.814729 | -10.2925 31.3349
-57.4858 65.6945 | -1.31912 -0.145579 | 7.56013 -203.205
-80.2423 -25.9026 | 0.123932 0.468488 | -17.8972 -118.17
-51.3955 -69.5602 | -0.827618 -1.1431 | -2438.12 -2507.16
-39.6255 70.8746 | 1.71808 1.44804 | -186.212 812.866
25.509 41.3669 | -0.888811 0.821262 | -244.165 -469.832
53.3944 63.7221 | 0.648095 -0.0592701 | 11.2453 -44.2039
42.5167 -31.0924 | 1.11015 -1.46079 | 1.81899e-12 -3.63798e-12
-2.79709 -18.2892 | 0.313035 -0.770849 | -653.538 -116.239
27.449 71.9305 | -0.466004 -0.356291 | 116.895 -170.908
79.0531 21.5747 | -0.219271 -0.482316 | 254.417 -650.647
13.8444 -89.0783 | 0.934228 0.12398 | -7.27596e-12 5.45697e-12
77.3644 9.16724 | 0.447891 0.416921 | -367.826 43.8418
-85.233 0.402206 | -1.27828 -0.117487 | -24.6271 1617.01
-41.6177 -73.325 | 0.779744 0.223239 | 242.729 -752.555
48.8267 70.3539 | -0.372708 -0.211032 | -2387.01 3977.43
-69.1112 10.2256 | 0.0453349 0.330769 | -623.522 1734.75
-9.15265 36.7816 | -0.503821 0.81065 | 339.564 961.776
-60.1985 22.3763 | -0.230165 1.0544 | -38.5815 -95.4542
-43.2792 -11.3276 | -0.547088 -0.108778 | 1623.62 3242.3
46.5725 -64.764 | -0.789174 -0.853077 | -333.966 -813.966
-16.242 90.458 | 1.17066 -0.455522 | 167.095 507.053
16.4589 -50.2336 | -0.843329 -0.556926 | -1010.01 2798.99
52.7805 -60.7641 | -1.04709 -0.959103 | -904.468 -5643.8
-67.5317 65.8405 | -0.073155 -0.518043 | 132.753 415.449
-14.8502 -1.7587 | 1.24829 -0.390149 | 101.731 -457.16
-4.35678 -56.7559 | 0.180177 -0.418614 | -390.668 -386.717
-23.3038 -80.8454 | -1.32333 0.167434 | 1.30225 -22.6457
-62.8545 -31.1682 | -0.0833771 -0.914956 | -2.57814 42.0234
73.8722 -40.5894 | -0.937435 0.434536 | -1.18234e-11 9.54969e-12
3.09566 -1.55928 | 0.48871 -0.535301 | 1255.94 -2555.7
-54.6141 -53.7323 | 0.243794 -0.663884 | 251.05 1152.9
56.4313 71.9289 | -0.0136445 -0.625473 | 118.564 -484.493
-33.7173 47.9913 | 0.118218 1.41333 | 171.466 -137.161
-57.5085 42.9683 | -0.615162 0.506315 | -1437.11 3035.53
86.3714 6.49596 | -0.149973 0.283225 | 263.851 406.192
-24.9035 -75.1962 | 0.903796 -0.162194 | -5.45697e-12 -7.95808e-12
66.9608 -34.8588 | 0.368889 -0.431702 | -297.833 -1046.62
74.7683 -8.60363 | -0.358503 0.653484 | -2.27374e-12 -1.25056e-12
-65.0252 4.71004 | -0.884234 0.220683 | -6792.39 -6836.39
