53.8752 20.2522 | 1.46726 1.16051 | -909.121 -221.653
21.5848 35.6304 | 0.114166 -1.4244 | -752.822 -581.137
-6.95731 76.0462 | -0.682683 2.53146 | -82.8416 272.961
70.8523 -28.681 | 1.95076 -0.292458 | -17.1773 116.08
47.775 -1.50072 | 2.97248 0.468077 | -1752.84 4233.49
-37.3047 29.8165 | -1.37429 0.817784 | -10.4205 43.8704
-0.209137 -36.0253 | -1.13069 -0.153336 | 300.127 523.207
22.9064 66.0542 | 0.843878 1.9404 | 298.732 -164.918
-51.3893 13.4051 | -1.40736 -0.488244 | 665.41 -2059.75
-40.3053 60.318 | -0.357181 1.34828 | -932.434 3413.89
38.7272 -7.14762 | -1.77322 0.247464 | 971.571 410.05
-52.5988 -10.5537 | -0.463775 -0.0798371 | -68.0981 -367.729
-64.105 2.13217 | -1.49971 0.439494 | 1573.13 0.91967
-7.11739 31.5379 | 0.679081 0.763636 | -1308.33 4381.29
10.3997 13.7655 | 0.907202 0.444231 | -473.884 -86.1537
-32.8331 11.0577 | -1.95112 0.417746 | -2.67116 -70.121
-47.0701 49.6054 | -2.36472 1.85354 | 335.709 286.303
-81.2239 -16.7892 | 0.101812 -0.695684 | -767.162 3759.78
-46.9041 -58.7651 | -1.28681 -2.393 | 717.209 -1915.11
-44.3845 54.4693 | -0.68178 2.44201 | -712.035 -2289.79
25.6615 37.4059 | 0.731178 -0.37634 | 905.32 379.181
54.7374 54.6042 | -1.28278 0.950077 | 415.129 607.003
33.0461 -23.7135 | -0.557001 -0.291237 | 497.389 3512.08
-3.07505 -17.4956 | 0.235997 -1.04465 | 858.618 3259.31
28.6652 65.5069 | 1.65478 1.05419 | -15.336 194.577
75.592 19.0392 | -0.32118 0.115052 | 125.976 -4053.13
7.35011 -81.9102 | 0.695718 -2.19545 | -4.54747e-13 3.63798e-12
65.6169 7.22823 | 1.43303 -0.747029 | 755.087 -1967.38
-75.1169 -3.99484 | -1.2208 0.844096 | 68.6724 359.842
-48.8467 -66.1228 | -0.215807 -1.8675 | 22.9156 -90.3685
43.6659 59.5306 | 1.84995 1.26691 | -2404.44 3061.37
-62.6876 7.41035 | 1.38338 -0.553703 | -299.196 651.604
-4.88958 34.2044 | -1.02233 -0.20216 | 127.01 -563.112
-54.9168 16.5809 | -0.632578 0.74924 | -808.112 158.47
-41.0216 -5.7545 | 1.29892 -0.674395 | -1926.82 -3386.42
44.9101 -52.6097 | 2.05272 -1.39489 | -15.8238 -114.748
-27.2311 88.6396 | 0.667434 1.6442 | -316.64 4889.29
10.0002 -38.3446 | 1.40277 0.38327 | 912.503 2392.67
53.5826 -49.3657 | -0.792799 -1.31198 | -2.72848e-12 5.91172e-12
-59.4149 62.4226 | -1.28606 2.73303 | 207.315 1510.15
-12.2943 1.09728 | 1.19561 0.354497 | 175.415 -461.563
-2.35787 -48.4463 | -1.18666 -1.76975 | 3.41061e-12 4.54747e-12
-27.0241 -72.5638 | 0.675569 -1.48754 | -1.04592e-11 8.18545e-12
-57.1941 -20.8938 | 1.10813 -0.328552 | 3125.16 -1938.62
67.5157 -30.7991 | 1.52068 -1.59939 | 16.2617 -101.19
11.8736 1.18668 | -1.10764 0.742658 | -1416.51 -5235.44
-48.6895 -45.164 | -2.14555 -0.347733 | 8.33947 37.1787
54.1339 66.2351 | 0.678545 1.5361 | -1.09139e-11 6.36646e-12
-32.6974 37.9872 | -0.386448 1.74766 | -2068.67 -696.307
-59.8078 35.5863 | 0.0410347 1.42381 | 74.842 134.43
80.9986 9.11346 | 1.02459 -0.25164 | -420.01 1334.6
-24.6196 -64.5271 | -0.762314 -1.94677 | -4.77485e-12 8.18545e-12
57.5777 -24.3885 | 1.66242 -0.651254 | -883.72 -5361.75
62.1532 -5.02099 | 0.14781 -0.54312 | 1422.91 -5815.48
