53.8554 -35.9819 | 0.160579 -0.44277 | 4.54747e-13 4.09273e-12
14.093 33.8272 | -0.47558 -0.0713758 | -4.67004e-12 -1.59162e-12
47.8945 -21.8069 | -0.551235 0.629441 | 9.09495e-12 -8.18545e-12
7.86254 -13.3469 | 0.17123 -0.492913 | 4.09273e-12 0
68.8765 -22.6576 | 0.205286 0.129468 | -10.3862 11.6056
-6.25361 -17.9336 | 0.0171005 0.0521992 | 5.91172e-12 -4.61853e-12
-29.1387 21.4724 | 0.487037 -0.0349837 | -7.27596e-12 -1.81899e-12
68.7524 59.8142 | -0.0756942 -0.256639 | -6.36646e-12 -6.14975e-12
-40.2465 -6.81101 | -0.0274031 0.576724 | 0 -1.09139e-11
60.0667 -75.7641 | 0.177882 -0.804824 | 2.72848e-12 -3.06954e-12
78.3408 -52.9312 | 0.61227 0.287595 | 9.32232e-12 -1.81899e-12
-9.05444 -27.0366 | 0.179015 0.541126 | -1.13687e-11 2.27374e-12
-50.6692 15.8715 | 0.0466592 -0.65384 | 1.59162e-12 -2.72848e-12
-60.5339 60.5859 | -0.0649259 0.410119 | 662.044 3026.72
-34.9242 59.7698 | -0.0150659 -0.668224 | 11.464 375.229
-66.6783 -14.358 | -0.092464 0.197217 | -1.81899e-12 1.59162e-12
19.7207 -64.3911 | -0.446541 -0.0815899 | 4.54747e-13 7.38964e-13
81.4967 -38.9424 | 0.32195 -0.0997423 | -7.27596e-12 -2.27374e-13
-17.0859 -1.80139 | 0.52021 0.65951 | 9.09495e-13 1.62004e-12
-71.3536 -26.9395 | -0.166807 0.61521 | -8.18545e-12 -7.7307e-12
