-44.5 35.8153 | -1.04083e-19 -3.33067e-18 | 8.52651e-14 9.09495e-13
3.48958 -54.6354 | 1.04083e-19 -1.11022e-18 | -2.84217e-14 1.81899e-12
24.3253 64.9365 | 2.83925e-20 -1.21431e-19 | -2.78444e-13 -5.85487e-12
-49.3147 -14.8825 | -4.92228e-19 5.55112e-19 | -4.9738e-13 -4.3201e-12
4.1527 14.6942 | 2.08167e-19 -7.77156e-18 | 0 -2.18279e-11
4.99555 -4.49643 | -1.38778e-19 -1.44329e-17 | -5.11591e-13 -2.00089e-11
35.4441 -14.0368 | -2.42861e-19 -9.4369e-18 | -1.42109e-13 -5.45697e-12
26.5764 22.5158 | 0 3.33067e-18 | 3.97904e-13 1.81899e-12
8.50583 -32.5726 | -1.38778e-19 1.11022e-18 | -2.84217e-13 -3.63798e-12
32.7801 -62.9806 | -2.42861e-19 -6.66134e-18 | 0 -8.18545e-12
58.9823 -6.15146 | -1.56125e-19 0 | -8.52651e-14 -9.09495e-13
-45.3914 -29.733 | 0 6.66134e-18 | -5.68434e-14 1.27329e-11
62.7626 15.6793 | 2.1684e-19 3.33067e-18 | 6.89226e-13 9.09495e-13
-72.1134 11.8598 | -3.46945e-20 -6.66134e-18 | -3.97904e-13 -9.09495e-13
-31.5779 -44.4162 | 9.32414e-20 1.05471e-17 | 8.52651e-14 2.50111e-11
-54.2633 25.0956 | -1.73472e-20 -3.33067e-18 | -1.13687e-13 -1.40972e-11
-1.04115 59.6897 | 1.73472e-19 8.88178e-18 | 1.7053e-13 -9.09495e-12
49.4936 35.4799 | 2.08167e-19 2.22045e-18 | 5.68434e-14 3.63798e-12
51.9854 19.2939 | -2.60209e-19 -5.55112e-19 | -8.52651e-14 -7.27596e-12
44.02 17.3094 | 1.73472e-19 5.55112e-18 | 8.52651e-14 -3.63798e-12
-59.9182 -27.452 | 4.51028e-19 2.22045e-18 | -7.67386e-13 8.18545e-12
42.165 2.61496 | -6.07153e-20 1.11022e-18 | 4.40536e-13 2.27374e-12
-69.592 -20.166 | -5.89806e-19 -1.11022e-18 | -3.69482e-13 5.45697e-12
26.3778 -23.5217 | 0 0 | -3.41061e-13 5.45697e-12
20.3502 58.4421 | 6.93889e-20 4.44089e-18 | 3.12639e-13 1.09139e-11
60.6884 -21.0538 | 2.42861e-19 -1.11022e-18 | 2.55795e-13 -5.45697e-12
-50.0972 -10.2784 | -1.04083e-19 4.44089e-18 | 2.27374e-13 2.72848e-12
-23.6555 -53.0365 | -1.2902e-19 3.19189e-18 | 2.35367e-13 6.13909e-12
-48.9107 10.5882 | 3.14419e-20 -9.4369e-18 | -6.66134e-14 2.27374e-13
-6.00905 -0.00685796 | 4.51028e-19 1.11022e-18 | -5.68434e-14 2.72848e-12
18.7301 -69.8184 | -6.93889e-20 -6.66134e-18 | 2.27374e-13 -3.63798e-12
-52.1668 19.5255 | -3.98986e-19 -1.11022e-17 | -8.52651e-14 -1.00044e-11
