39.3269 23.7296 | 0.331163 0.157664 | -1458.99 -2482.14
-36.4374 -86.2524 | -0.143852 0.180114 | 355.333 2321.68
-24.0215 -20.5857 | -0.458586 0.274824 | 339.046 -520.201
27.7226 49.8026 | 0.242428 0.479723 | -2377.49 -2118.68
23.3358 5.3598 | 0.262792 -0.0829794 | 94.9127 -99.1563
41.7641 -24.7919 | -0.0620929 0.109624 | -81.7277 123.407
-28.8515 62.8021 | -0.478023 -0.0310805 | 591.229 898.894
-57.642 44.676 | -0.43 0.0245775 | 59.9995 142.882
39.1117 -1.84339 | 0.551909 -0.182185 | -149.024 2422.01
-13.4578 -1.99695 | 0.173083 0.34905 | -27.5826 152.523
76.7747 -40.9192 | -0.0176204 -0.841408 | 1081.22 -852.396
-13.7717 -63.7509 | 0.195996 -0.268952 | 878.644 3207.25
-56.2386 -32.4683 | 0.20931 -0.0165665 | 114.214 930.039
-47.5234 -46.085 | -0.138777 0.0103422 | -182.13 214.455
-44.6625 35.8811 | -0.327341 0.113562 | -87.8804 -1032.96
6.56585 73.1324 | 0.484966 -0.0339376 | -0.648942 -55.8927
-13.3476 -56.9381 | -0.43709 0.143224 | -0.212644 0.610541
-63.9424 -50.2684 | -0.0966592 -0.453993 | -8.18545e-12 8.6402e-12
-0.398866 -48.9797 | -0.467594 -0.0530546 | -12.3448 -65.3293
-36.9117 -64.5103 | 0.245903 0.633993 | -878.644 -3207.25
-31.5525 51.4381 | -0.615546 -0.190231 | -69.0962 12.9948
27.778 -29.1296 | -0.018999 -0.463441 | -3.21151 -32.4169
-50.9315 -57.3425 | -0.0718095 -0.00888613 | 379.853 -470.809
50.4093 32.6806 | 0.787561 -0.156208 | 338.436 511.054
-30.1522 -29.4495 | -0.302859 -0.0999945 | 12.6555 -40.4175
-68.1222 -9.64076 | -0.130373 0.625522 | 1676.87 -1288.38
-39.9553 -35.3714 | 0.408321 0.056006 | -15.81 -931.938
32.4881 -64.6053 | 0.426046 0.147295 | -6.82121e-12 2.33058e-12
34.3209 20.8038 | 0.731098 -0.123172 | -44.34 -40.6192
22.2229 -70.3615 | -0.262191 -0.0864199 | -1.18234e-11 -4.46221e-12
8.70994 57.8248 | 0.550315 0.237246 | -252.968 -1259.15
-50.0204 53.9109 | 0.124151 0.671912 | -2316.09 -2475.42
30.3441 67.326 | 0.41721 -0.43119 | 5.45697e-12 -3.0127e-12
-44.0593 63.2527 | -0.332981 -0.31612 | -611.335 -540.777
6.28472 69.9732 | -0.0513224 0.329947 | -10.5238 264.95
22.158 46.4835 | 0.420546 0.145956 | 1165.41 -1168.43
-13.9942 74.0631 | -0.484808 0.292863 | -3.95807 31.1006
35.6585 64.7543 | -0.422924 -0.155871 | -199.28 473.29
17.5018 40.5417 | 0.125206 -0.178591 | -46.5354 63.944
-22.0729 27.4944 | -0.163694 -0.366494 | 4.09273e-12 -2.27374e-12
-28.2635 85.3841 | -0.293873 0.439113 | 144.614 324.389
-27.9568 18.7686 | 0.365644 0.487162 | 8.18545e-12 4.77485e-12
36.9687 -6.43804 | -0.219205 -0.047944 | 4264.47 4182.61
87.6456 -25.6736 | 0.101506 -0.134923 | -2.72848e-11 5.45697e-12
-49.7975 -15.4758 | -0.0560048 0.156332 | 3858.7 -4016.76
56.8157 -35.5782 | -0.153533 0.0786755 | -1541.32 -1484.2
2.99774 -7.58237 | 0.0226345 0.0796754 | -4286.63 -3937.01
40.0144 -56.2096 | -0.373908 0.259079 | -71.7886 368.178
7.52853 -23.4757 | 0.0894094 -0.504286 | -16.1366 33.8829
40.3577 25.4934 | 0.348703 0.00862737 | 1458.99 2482.14
-7.73579 93.3165 | -0.116734 0.0111907 | 22.6219 108.661
-54.987 -20.9326 | -0.00449797 0.255979 | 1750.78 -3104.5
-35.3899 4.95189 | 0.0498946 0.432945 | 325.906 1541.83
-15.2247 14.0115 | 0.14819 0.569646 | -59.0621 -159.663
-29.0293 -17.035 | -0.00800271 -0.00428004 | 1.81899e-11 -4.54747e-12
-54.3727 -48.4409 | -0.734909 0.250155 | 182.13 -214.455
22.485 -24.2837 | 0.37473 0.353582 | -191.848 -284.961
-40.6846 16.8647 | -0.722697 0.22977 | 9.09495e-13 0
-28.649 57.3389 | 0.0509954 -0.416884 | 155.319 1070.55
-14.1464 -23.3852 | -0.118958 0.195127 | 55.1069 187.237
9.11611 86.149 | 0.354217 -0.455928 | -2.00089e-11 1.81899e-12
59.1479 -15.5239 | 0.0992034 0.331961 | 1608.83 5914.68
11.2191 -35.8115 | -0.322794 -0.585772 | -307.093 -559.876
31.4392 1.86662 | 0.410576 -0.123886 | -1.34867 -2.55328
-0.841676 38.9928 | -0.57975 -1.00163 | 185.592 -279.445
44.3775 -11.4256 | 0.141221 0.163942 | -91.7667 319.134
8.88039 -93.6419 | -0.571666 -0.040169 | 2.27374e-11 1.36424e-12
-50.7401 -24.916 | -0.251845 0.516847 | 144.524 -97.9778
-52.8094 -43.7102 | -0.232432 0.585402 | 13.6554 -150.19
53.3625 5.89401 | 0.704069 -0.0103491 | -717.947 1649.88
