-22.7753 -62.2843 | 1.09889 -0.471584 | 4.54747e-13 6.36646e-12
-86.8406 23.3791 | -0.827865 -1.08659 | -6997.29 10273.3
-5.13997 82.2085 | -1.23026 0.901519 | -2.72848e-12 2.72848e-12
66.1473 48.2847 | 0.0846785 0.249313 | -2.27374e-12 4.54747e-12
66.1285 28.1325 | 0.782575 0.460859 | -1.81899e-12 3.18323e-12
63.4859 21.9731 | 0.231129 0.51337 | 151.826 -1998.45
-61.4204 -53.4617 | 0.752138 -0.434948 | 7.27596e-12 8.6402e-12
37.519 -4.99857 | -0.161605 -0.0865304 | -40.3809 107.462
-67.7815 -31.5974 | 0.28042 -0.659246 | 4.66116e-12 9.09495e-12
38.0364 -44.465 | 0.353143 -1.372 | -9.09495e-13 -5.34328e-12
39.36 81.0368 | -0.0801883 0.0317331 | -4.20641e-12 -5.45697e-12
76.9932 -24.016 | -0.96868 -0.295395 | -1.81899e-12 9.09495e-13
-71.8091 -4.58514 | -0.696107 -1.00928 | 8.23092 -1.96439
-30.5239 -74.5747 | -0.598623 -0.128488 | 1600.92 -1019.09
-37.7078 23.2391 | 0.224286 -0.236205 | 1.5774e-12 6.36646e-12
-23.8339 -0.236323 | -0.11092 0.00582704 | 5.00222e-12 -2.27374e-13
8.84085 -89.5827 | -0.278345 -0.861409 | 31.7076 52.8355
-58.7688 34.9465 | 0.67018 0.551309 | 6997.29 -10273.3
